2025-07-08 03:54:01 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:54:01 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:54:16 | INFO     | Request started: GET /metrics
2025-07-08 03:54:16 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:54:16 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:55:39 | INFO     | Request started: GET /metrics
2025-07-08 03:55:40 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:55:40 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:55:46 | INFO     | Request started: GET /metrics
2025-07-08 03:55:46 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:55:46 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:56:01 | INFO     | Request started: GET /metrics
2025-07-08 03:56:01 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:56:01 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:56:16 | INFO     | Request started: GET /metrics
2025-07-08 03:56:16 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:56:16 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:56:31 | INFO     | Request started: GET /metrics
2025-07-08 03:56:31 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:56:31 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:56:46 | INFO     | Request started: GET /metrics
2025-07-08 03:56:46 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:56:46 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:57:01 | INFO     | Request started: GET /metrics
2025-07-08 03:57:01 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:57:01 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:57:16 | INFO     | Request started: GET /metrics
2025-07-08 03:57:16 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:57:16 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:57:31 | INFO     | Request started: GET /metrics
2025-07-08 03:57:31 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:57:31 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:57:46 | INFO     | Request started: GET /metrics
2025-07-08 03:57:46 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:57:46 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:58:15 | INFO     | Request started: GET /
2025-07-08 03:58:15 | INFO     | Request completed: GET / - 200
2025-07-08 03:58:15 | INFO     | Request started: GET /favicon.ico
